gene	conMean	treatMean	logFC	pValue	fdr
PCDH7	0.253280510349803	3.29126419687123	3.69983386667676	6.22297033777409e-51	3.71364372722734e-50
RASSF1-AS1	0.387135651281128	0.272361858814521	-0.507314486944396	5.64311894362115e-09	6.98108314136234e-09
NDUFAF4	5.40992392922229	3.56871143913986	-0.600205056107182	7.234125678958e-37	1.63492678064029e-36
PLA2G1B	1527.10152122615	239.946778144795	-2.6700096285425	1.36834834741494e-41	3.6809991225176e-41
KLF2	3.96993961938038	20.2916750404651	2.35369899179141	2.23230778924413e-48	9.31636154537105e-48
RAB2B	3.96838896679377	4.44400778552427	0.163307903926652	1.48203839170108e-08	1.81793275242581e-08
RAD54B	1.17358868814899	0.349953623741237	-1.74569121828598	3.09828398642916e-47	1.16771819035571e-46
PSG4	0.560945068973121	0.034526754921215	-4.02207285003458	6.29504331447329e-23	1.01212191975457e-22
KNL1	0.154876180879176	0.818079533293478	2.40112582561818	1.1243581623635e-44	3.52928802720725e-44
PLGLB2	0.71363854694661	0.0116964651589701	-5.93104904657855	1.75572825056847e-42	4.90822201050068e-42
CEP44	2.78014938113306	1.69999149689479	-0.709634872725035	1.40430804710755e-44	4.37721986116591e-44
HNRNPA1P48	4.70864398613532	1.60024406896476	-1.55701968513669	7.95734290968844e-53	8.62309343364128e-52
APBB3	9.40682313823573	2.64584095463481	-1.82998123813969	1.56169385635916e-53	2.53727847964336e-52
CCNA2	0.592815057964554	3.44870282608668	2.54039981866109	2.91035459042431e-53	4.01970635029657e-52
PCDHB7	0.247105716979933	0.907434410018645	1.87666497898309	1.60685775028173e-47	6.2001511054483e-47
JCAD	3.70083924471174	4.36708588987711	0.238818435772335	0.00554952061811114	0.00599720909836423
PCNA	8.11074101212035	22.5672038344523	1.47632204116641	7.44940251400386e-55	2.60323892357817e-53
SH2D6	2.05224300232957	0.655677358114804	-1.64614358631962	4.38882553356181e-31	8.4296584260558e-31
TMEM256	23.5419525706139	15.465697418545	-0.606162089964432	1.58742799047817e-34	3.35256536701379e-34
AJUBA	2.37471532049678	2.96324893984279	0.319425256526212	1.87690846630336e-06	2.20215390646844e-06
KLF3	5.46955168619103	10.2521932514037	0.906438086508168	1.5838231177863e-43	4.6708927245246e-43
PAK2	3.75025428745597	11.1300147281837	1.56939517523993	1.86822563629604e-54	5.01846595135743e-53
SHOC2	3.83176453882372	7.81689937998246	1.02858755688493	2.38988889677301e-54	6.07706781944559e-53
FGFR3	22.0242337758972	7.98850359845888	-1.46309463975894	7.63848726968101e-39	1.84442840536865e-38
PLEKHG7	0.284098444795689	0.175369131906943	-0.695996103898727	1.29758398086902e-07	1.56053152199812e-07
UHRF1	0.246057876272254	1.5486949754738	2.65398342213503	4.56075332065061e-47	1.69211636252306e-46
GZMM	0.321166537682292	1.62811025006047	2.34180490577964	1.19004940454283e-45	3.98480635720386e-45
AC025811.1	1.44877221931598	0.209522475477505	-2.78965387226774	2.75687330729011e-45	9.00581546870751e-45
IGKV3-11	4.42569921025281	48.6388994085913	3.45813327637221	3.55515539644334e-37	8.10771980049372e-37
FLNC	0.472643912782935	4.85027444973497	3.35924080387346	4.34245750364192e-49	1.961725063828e-48
AC026191.1	0.469273487396578	0.0974639637996	-2.26748815218681	8.41699816708125e-33	1.68843135517431e-32
PHKA2	11.302195960172	3.29315392736067	-1.77906125577902	3.11263628024074e-53	4.22504469485029e-52
C1QBP	15.7628571126365	13.8741276315602	-0.184131994180295	2.08693414672356e-09	2.60361157123694e-09
RPA2	5.61249547137214	12.5789078981943	1.16429239187293	3.93705838317665e-53	5.01844000536212e-52
RRP8	4.24884691949359	2.33821141665664	-0.861665984609224	6.27384705153343e-51	3.74291388218705e-50
IGHV3-66	0.14733465856072	3.62339343377494	4.62017271376014	6.85803906911201e-39	1.65969734813968e-38
TMEM106A	1.37825734580703	2.25291632982601	0.708948444189003	5.3266291723984e-37	1.20846716569322e-36
AC092279.1	0.854670456303514	0.668377377532197	-0.354705349549132	5.86587466434985e-10	7.40295878319114e-10
TMED4	15.5016717406678	17.9911656546832	0.214864854514118	9.90795053962484e-05	0.000111788027557921
AC092634.3	0.407060928889477	0.223171722664537	-0.867090513552653	3.43289993065794e-15	4.77558982470011e-15
PTH2R	0.338060488769313	0.171989849403772	-0.974957987716	3.31985395224703e-25	5.59385006161874e-25
ROGDI	8.43521660387478	6.3731398388117	-0.40442079869037	2.17567416065215e-25	3.68048548713957e-25
AC044787.1	0.812478864547551	0.571647769918257	-0.507203803192253	2.10844951692183e-12	2.78419799766937e-12
MAOA	10.9108064714623	8.10718503056843	-0.428484767062953	3.89682294306984e-09	4.8374749872175e-09
BOD1L1	4.41717150057367	2.75973282662375	-0.678594242817688	1.82871775371003e-43	5.37461047758173e-43
GPD2	2.29734028169569	5.25108962481711	1.19265225526573	7.01891860911758e-55	2.49004274650511e-53
CCDC113	0.651635870044883	0.997447060846329	0.614174251977765	3.86062807244985e-16	5.4543895648106e-16
AP000640.1	0.136981594531114	0.278552468091464	1.02396703978034	1.39402005699576e-19	2.0973316094558e-19
RPL10	437.693084361683	144.050474931535	-1.60334517224438	1.12444117128156e-52	1.13828814712969e-51
EMC3-AS1	0.412975824429697	0.499238772674885	0.273672654556776	0.000606066307629274	0.000671151874640966
PRR4	2.17936051899583	0.380438619933241	-2.51816926006546	5.46902643001246e-50	2.7916584038884e-49
KDM1A	9.58045249981996	9.47361059710862	-0.0161794256618268	2.15821109474175e-05	2.47113178375952e-05
ATXN2	6.31700251088226	2.39956000651315	-1.39647025425025	6.53670864711354e-51	3.88427842082576e-50
CUX1	9.66738686881413	6.01604972288291	-0.684309485483452	1.59405290337191e-47	6.15867664762545e-47
H2BC7	0.086505172958783	0.506523417939538	2.54977065747729	2.25131883087888e-15	3.13954524793976e-15
PRSS3	379.56228802469	43.6241386548297	-3.12113810722198	1.70399981551561e-46	6.06805362278863e-46
DUSP7	2.23893816863988	5.36344880673241	1.26034629461056	2.92404056969389e-52	2.46834463193501e-51
SMIM12	6.1202719994872	3.08306383413443	-0.989231010725267	1.34461903763012e-51	9.23653841104429e-51
IGFBPL1	0.102263474024865	0.537307195264891	2.39345621557823	3.73054467821639e-23	6.02022382674324e-23
RPS13	119.644760714448	86.3011032612363	-0.471306314297178	9.24099138005626e-40	2.30170178338247e-39
FKBP1C	0.16225135814092	0.366447382411952	1.17537550448288	6.87272534669489e-30	1.2841425387631e-29
TRIP13	0.433154686689811	1.8491260788542	2.09388936298754	5.59834699436305e-46	1.92366232378072e-45
AC010889.1	0.44134531897596	0.223190800931512	-0.9836303301653	3.25291732814985e-12	4.27670144453075e-12
TRIM39	3.41698820070516	2.59961163570073	-0.394429155442741	5.39152020721125e-33	1.08743480329535e-32
SIDT1	0.593536104369171	1.27088722253441	1.09842831673747	5.76268421578022e-25	9.65510217015677e-25
CUL5	2.48431178231152	3.89568508635831	0.649030815845751	6.37770448489344e-51	3.80044346728628e-50
AC026367.3	0.962270333370033	0.616041480461769	-0.643414754958408	6.03832511173761e-17	8.65353754198398e-17
AC099509.1	0.538653146438452	1.15543714566449	1.10101029504861	5.03467084282572e-05	5.72105370720241e-05
C11orf91	0.136681192812583	0.388260475975566	1.50621010839026	1.09297439240786e-18	1.61764951830777e-18
AC023302.1	0.1242128815802	0.420241605589955	1.75840420465371	1.77359557804276e-17	2.56454703920297e-17
ZFAT	1.31159295156292	1.08390538123305	-0.275081230763666	2.87923214072169e-13	3.86180477612426e-13
DRD4	0.684811284875326	1.00446331953504	0.552646500506254	1.15946373551451e-05	1.33677273866433e-05
DNAL1	1.23734914521849	1.90668168673478	0.623811365466659	4.39248664524845e-36	9.6950534049195e-36
EXT2	6.71763761700101	10.4490177975601	0.637341459476148	1.22134582619708e-49	5.94987297251151e-49
ENOSF1	15.2415708344057	2.83717471435979	-2.42548469805134	1.45228695442987e-52	1.39180377178779e-51
AC097658.2	1.24868623983082	0.257393338900828	-2.27836438973594	1.94298060732317e-39	4.78590493998772e-39
ZFP36L2	17.6574386004595	53.6195767901605	1.6024837525466	2.40848003550258e-46	8.48512185167669e-46
JRK	1.61719167479409	1.83641923975414	0.183404770202082	0.442939904986066	0.449016289379942
B3GNT7	3.83107017809771	10.3106291696868	1.42831301214274	1.30976076371279e-27	2.32096728183162e-27
ISG20	3.41630523142422	4.25937853365618	0.318206069808646	0.0335625685303457	0.0354649845257161
BCL10	1.88119996578824	8.26453951557038	2.13528122646056	1.10423120506105e-55	8.0723244772838e-54
